Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
AFL,Aflac Inc,12.83,13.73,2.07%,11.79,1.3,1.74,12.8,13.45%,0.21,11.60%,2.09%,1
AGCO,AGCO Corp,18.86,21.23,0.87%,14.58,1.88,0.61,10.5,2.58%,0.43,10.33%,3.25%,1
AGCZ,Andes Gold Corp,0.05,0.05,--,0.01,0.02,0.03,0.12,20.80%,0,39.96%,31.33%,1
AGR,Avangrid Inc,24.63,24.4,3.48%,22.56,1.03,2.44,10.41,9.94%,0.45,4.19%,1.88%,1
AHH,Armada Hoffler Properties Inc,53.07,68.54,4.61%,43.36,3.07,6.37,22,12.15%,2.47,6.67%,1.97%,1
AIG,American International Group Inc,25.86,"1,298.48",2.46%,11.36,0.7,0.89,8.28,0.22%,0.54,2.89%,0.53%,1
AIMC,Altra Industrial Motion Corp,27.38,39.14,1.89%,12.73,1.24,1.25,24.4,3.01%,0.86,7.43%,3.26%,1
AIN,Albany International Corp,20.36,29.01,1.01%,19.06,3.67,2.33,14.89,8.51%,0.67,18.82%,8.36%,1
AIR,AAR Corp,18.25,20.37,0.65%,17.51,1.74,0.73,13.15,3.85%,0.21,9.51%,5.29%,1
AIT,Applied Industrial Technologies Inc,17.68,17.98,1.91%,14.94,2.71,0.73,12.33,4.08%,0.93,15.97%,6.06%,1
AIV,Apartment Investment and Management Co,21.92,11.87,3.03%,20.93,4.5,8.37,7.06,73.69%,2.49,18.24%,5.90%,1
AIZ,Assurant Inc,33.61,33.09,1.90%,15.3,1.42,0.82,21.89,3.15%,0.35,4.81%,0.65%,1
AJG,Arthur J Gallagher & Co,25.13,27.66,1.80%,26.53,3.68,2.5,16.13,9.88%,0.79,15.29%,4.35%,1
AJRD,Aerojet Rocketdyne Holdings Inc,30.99,29.86,--,28.14,7.05,2.17,19.62,7.24%,0.63,28.35%,5.41%,1
AJX,Great Ajax Corp,11.67,13.65,8.64%,8.85,0.9,2.45,9.96,27.81%,2.24,10.83%,2.45%,1
AKAM,Akamai Technologies Inc,33.78,52.49,--,21.29,4.32,5.33,20.54,11.11%,0.52,13.70%,7.81%,1
AKO/B,Embotelladora Andina SA,15.95,21.08,4.71%,14.86,2.41,1.1,9.91,5.83%,0.87,15.89%,6.23%,1
AKR,Acadia Realty Trust,54.59,66.17,4.62%,58.17,1.43,7.61,22.59,-7.95%,1.15,2.57%,0.00%,1
AKS,AK Steel Holding Corp,9.44,5.2,--,8.16,7,0.14,1.92,3.50%,14.63,85.11%,3.30%,1
AKZOY,Akzo Nobel NV,40.31,50.93,2.07%,26.13,2.64,1.91,25.73,4.92%,0.3,7.33%,3.39%,1
AL,Air Lease Corp,9.7,10.35,1.26%,9.43,0.98,2.8,4.91,30.41%,2.52,11.11%,2.86%,1
ALB,Albemarle Corp,13.89,11.75,2.04%,11.89,1.99,2.17,9.05,18.61%,0.36,15.00%,6.27%,1
ALCO,Alico Inc,7.1,7.12,1.00%,35.93,1.38,2.2,5.23,30.63%,0.81,20.65%,8.91%,1
ALE,ALLETE Inc,19.57,23.92,2.91%,22.73,1.89,3.01,10.86,11.60%,0.64,9.87%,4.09%,1
ALG,Alamo Group Inc,21.96,20.79,0.42%,20.15,2.64,1.36,15.73,6.95%,0.27,12.71%,8.37%,1
ALGN,Align Technology Inc,56.35,59.63,--,54.4,17.71,10.09,49.86,20.79%,0,33.53%,20.03%,1
ALGT,Allegiant Travel Co,13.34,17.46,1.60%,12.02,3.44,1.59,9.77,9.70%,1.47,28.40%,8.02%,1
ALK,Alaska Air Group Inc,13.39,18.69,2.12%,10.35,1.91,0.94,9.72,5.29%,0.34,15.19%,5.12%,1
ALL,Allstate Corp,14.29,19.31,1.76%,11.03,1.6,0.86,14.83,5.58%,0.25,11.98%,2.38%,1
ALLE,Allegion PLC,27.05,28.6,0.87%,25.24,16.76,4.04,22.95,15.14%,2.08,67.40%,15.46%,1
ALLY,Ally Financial Inc,7.49,10.33,2.27%,8.07,0.79,1.59,3.94,18.16%,1.79,11.67%,0.91%,1
ALOT,AstroNova Inc,17.59,16.29,2.10%,25.15,1.29,0.67,7.89,4.24%,0.12,7.81%,4.61%,1
ALRM,Alarm.com Holdings Inc,43.79,98.06,--,29.44,6.11,4.34,47.59,5.09%,0.19,16.12%,10.43%,1
ALSK,Alaska Communications Systems Group Inc,31.38,12.34,--,1.92,0.6,0.44,2.41,3.56%,1.02,1.96%,0.65%,1
ALSN,Allison Transmission Holdings Inc,12.33,13.46,1.23%,10.24,7.84,2.13,8.95,17.88%,3.38,68.68%,11.19%,1
ALV,Autoliv Inc,32.57,18.41,3.13%,14.07,3.48,0.81,8.93,4.35%,0.91,10.57%,3.21%,1
ALX,Alexander's Inc,30.82,30.25,5.38%,334.86,6.53,7.5,19.06,24.33%,3.7,19.85%,3.99%,1
ALXN,Alexion Pharmaceuticals Inc,18.14,"1,164.81",--,10.55,2.34,5.12,56.82,0.51%,0.24,13.93%,9.50%,1
ALYE,Aly Energy Services Inc,1.9,7.08,--,0.55,0.08,0.13,0.55,1.98%,0.22,0.07%,0.04%,1
AMAT,Applied Materials Inc,21.67,21.66,1.37%,16.36,6.85,3.85,18.48,18.36%,0.57,35.62%,14.63%,1
AMC,AMC Entertainment Holdings Inc,18.78,7.65,12.36%,-6.02,0.57,0.12,1.04,2.02%,4.06,2.87%,0.31%,1
AMCX,AMC Networks Inc,5,5.13,--,4.31,3.51,0.72,3.9,15.94%,4.9,102.15%,8.87%,1
AMD,Advanced Micro Devices Inc,239.93,146.42,--,77.44,24.66,8.91,102.75,5.44%,0.4,13.45%,4.63%,1
AME,Ametek Inc,27.55,30.61,0.56%,24.34,4.73,4.49,23.85,15.81%,0.46,17.92%,9.70%,1
AMED,Amedisys Inc,45.24,48.99,--,39.56,9.31,2.97,42.06,7.23%,0.38,24.20%,13.17%,1
AMEH,Apollo Medical Holdings Inc,169.54,60.99,--,43.58,3.18,1.25,7.64,11.59%,1.23,2.32%,2.61%,1
AMEN,AMEN Properties Inc,5.86,5.86,10.67%,750,2.96,13.71,4.53,260.68%,0,57.39%,59.95%,1
AMFC,AMB Financial Corp,13.89,13.09,--,17.23,0.87,1.94,9.94,15.07%,0.16,6.51%,0.55%,1
AMGN,Amgen Inc,18.28,18.88,2.69%,16.21,13,6.05,13.69,35.35%,2.54,63.83%,12.72%,1
AMH,American Homes 4 Rent,98.18,328.99,0.76%,103.72,1.48,6.98,22.78,10.48%,0.53,1.51%,1.65%,1
AMKR,Amkor Technology Inc,41.53,20.4,--,40.22,1.64,0.77,4.21,3.52%,0.64,3.95%,1.66%,1
AMN,AMN Healthcare Services Inc,24.5,21.51,--,20.37,4.15,1.35,15.99,6.64%,0.87,18.51%,7.29%,1
AMNB,American National Bankshares Inc,19.77,14.71,2.83%,18.25,1.34,4.93,17.22,31.20%,0.11,6.93%,0.87%,1
AMOT,Allied Motion Technologies Inc,28,28.22,0.25%,27.78,4.05,1.29,16.75,5.13%,1.02,15.09%,6.10%,1
AMP,Ameriprise Financial Inc,11.94,11.93,2.29%,10.56,3.59,1.65,9.35,16.21%,0.8,33.85%,1.33%,1
AMPY,Amplify Energy Corp,6.35,3.64,11.49%,24.86,0.58,1.03,2.46,23.86%,0.58,5.51%,3.69%,1
AMRB,American River Bankshares,17.15,18.02,1.87%,15.57,1.06,3.63,17.07,22.11%,0,6.62%,0.74%,1
AMRC,Ameresco Inc,27.57,24.09,--,25.58,2.29,1.18,13.49,4.77%,0.56,8.83%,2.66%,1
AMRK,A-Mark Precious Metals Inc,71.46,27.8,--,8.73,0.88,0.01,12.11,0.05%,1.32,1.26%,0.15%,1
AMS,American Shared Hospital Services,20.24,13.79,--,2.41,0.54,0.68,1.66,8.27%,0.43,2.54%,2.18%,1
AMSC,American Superconductor Corp,24.89,5.27,--,-8.07,2.05,2.79,4.76,50.64%,0,8.52%,5.63%,1
AMSF,Amerisafe Inc,16.13,17.44,1.54%,17.14,2.67,3.35,17.2,18.96%,0,16.70%,4.90%,1
AMSWA,American Software Inc,66.31,68.52,2.96%,87.41,4.02,4.36,32.7,6.26%,0,6.11%,4.39%,1
AMT,American Tower Corp,64.11,83.32,1.75%,57.56,19.5,13.13,30.37,17.00%,3.63,30.27%,4.53%,1
AMTB,Amerant Bancorp Inc,16.87,19.12,--,17.28,1.08,3.04,15.18,16.79%,0.11,6.73%,0.64%,1
AMTD,TD Ameritrade Holding Corp,12.61,12.61,2.48%,16.92,3.13,4.5,10.92,36.70%,0.41,26.44%,5.43%,1
AMWD,American Woodmark Corp,20.46,22.32,--,14.4,2.7,1.11,10.24,5.09%,0.92,13.86%,5.63%,1
AMX,America Movil SAB de CV,16.22,18.9,2.29%,16.08,1.64,0.99,4.82,5.25%,3.07,36.56%,4.49%,1
AMZN,Amazon.com Inc,84.5,94.96,--,91.09,16.5,3.52,41.46,4.25%,0.68,23.40%,6.54%,1
AN,AutoNation Inc,10.78,10.61,--,10.44,1.35,0.19,7.27,1.83%,0.53,13.57%,3.70%,1
ANAT,American National Insurance Co,9.43,19.7,2.82%,116.35,0.54,0.89,16.31,4.07%,0.03,5.93%,0.85%,1
ANDE,Andersons Inc,20.37,16.63,2.89%,21.27,0.83,0.11,6.01,1.35%,1.01,3.99%,1.22%,1
ANET,Arista Networks Inc,21.69,50.21,--,21.74,5.97,6.46,43.8,15.53%,0,33.69%,24.17%,1
ANF,Abercrombie & Fitch Co,29.92,16.84,4.63%,25.6,1.1,0.3,4.29,2.09%,0.25,4.47%,1.81%,1
ANGI,ANGI Homeservices Inc,64.83,59.52,--,129.86,3.41,3.51,27.47,6.85%,0.18,5.90%,4.10%,1
ANIK,Anika Therapeutics Inc,23.01,39.07,--,24.41,2.52,6.36,28.85,17.74%,0,11.49%,10.48%,1
ANIP,ANI Pharmaceuticals Inc,42.61,43.8,--,11.1,3.24,3.2,14,7.69%,0.3,7.96%,3.65%,1
ANSS,ANSYS Inc,51.07,53.31,--,41.31,7.51,15.19,45.79,32.49%,0,15.97%,13.16%,1
ANTM,Anthem Inc,18.84,21.84,1.04%,15.84,2.49,0.78,16.5,4.04%,0.6,14.13%,5.61%,1
ANZBY,Australia and New Zealand Banking Group Ltd,11.69,11.68,5.51%,10.8,1.16,3.5,10.11,31.17%,2.13,10.49%,0.66%,1
AOBC,American Outdoor Brands Corp,165.38,27.79,--,11.6,1.14,0.83,7.04,2.87%,0.38,0.73%,0.41%,1
AON,Aon PLC,33.22,44.77,0.85%,22.83,13.95,4.43,27.31,11.03%,1.78,39.28%,5.82%,1
AOS,A. O. Smith Corp,19.82,18.46,2.02%,21.09,4.94,2.54,15.05,13.93%,0.19,23.74%,13.29%,1
AOSL,Alpha and Omega Semiconductor Ltd,"2,542.94",176.84,--,12.45,1.12,0.72,18.8,-3.25%,0.32,0.16%,-2.17%,1
APAM,Artisan Partners Asset Management Inc,13.63,11.68,7.83%,12.61,21.77,3.3,9.94,30.68%,1.68,100.37%,23.90%,1
APD,Air Products and Chemicals Inc,29.43,29.42,2.00%,24.68,4.63,5.74,17.76,20.15%,0.29,15.95%,9.43%,1
APEI,American Public Education Inc,33.58,17.42,--,24.63,1.4,1.43,9.47,8.79%,0,4.38%,4.14%,1
APH,Amphenol Corp,27.83,26.21,0.92%,29.6,7.72,3.87,20.03,15.90%,0.85,29.40%,11.85%,1
APLE,Apple Hospitality REIT Inc,19.53,17.51,7.64%,19.89,1.06,2.77,9.03,16.22%,0.47,5.25%,3.63%,1
APOG,Apogee Enterprises Inc,23.43,20.45,2.10%,15.04,1.72,0.63,9.24,3.26%,0.19,7.24%,3.40%,1
APPF,AppFolio Inc,123.26,213.81,--,129.22,32.6,17.11,118.3,10.51%,0.38,29.52%,18.65%,1
APT,Alpha Pro Tech Ltd,14.29,13.52,--,3.51,1.37,0.98,11.01,7.77%,0,10.06%,9.17%,1
APTV,Aptiv PLC,22.89,21.64,0.98%,19.18,6.42,1.59,13.01,7.72%,1.1,28.24%,8.02%,1
APY,Apergy Corp,31.73,26.46,--,30.68,2.39,2.07,11.33,7.77%,0.57,7.83%,4.00%,1
ARC,ARC Document Solutions Inc,16.04,6.85,--,1.35,0.43,0.16,1.49,2.18%,0.62,2.71%,1.05%,1
ARCB,ArcBest Corp,11.98,11.54,1.17%,10.61,0.91,0.23,4.05,2.05%,0.33,8.23%,3.80%,1
ARCH,Arch Coal Inc,3.84,4.62,2.57%,5.18,1.5,0.44,2.43,12.75%,0.42,47.17%,16.71%,1
ARCO,Arcos Dorados Holdings Inc,96.48,46.02,1.36%,24.91,4.58,0.54,11.53,1.20%,1.67,4.32%,0.89%,1
ARE,Alexandria Real Estate Equities Inc,148.37,45.01,2.60%,67.05,2.3,14.03,23.46,30.34%,0.86,1.66%,1.09%,1
ARES,Ares Management Corp,45.87,122.55,3.53%,24.01,9.16,5.32,52.72,15.87%,10.34,25.08%,2.77%,1
ARGO,Argo Group International Holdings Ltd,49.26,38.28,1.81%,46.68,1.24,1.23,25.02,3.43%,0.31,2.68%,0.50%,1
ARKR,Ark Restaurants Corp,28.97,28.78,4.58%,21.81,1.82,0.47,10.09,1.52%,0.57,6.36%,2.74%,1
ARL,American Realty Investors Inc,1.97,1.5,--,16.19,1.08,4.28,1.27,151.04%,1.98,70.34%,12.02%,1
ARLP,Alliance Resource Partners LP,3.44,4.08,18.98%,11.38,1.09,0.71,2.26,18.35%,0.48,32.84%,17.84%,1
ARMK,Aramark,25.93,25.83,0.98%,19.25,3.35,0.69,10.89,2.70%,1.99,13.80%,3.19%,1
ARNC,Arconic Inc,32.73,20.44,0.28%,13.69,2.69,0.88,9.8,5.00%,1.04,8.73%,2.45%,1
AROC,Archrock Inc,20.43,52.74,5.94%,13.67,1.4,1.56,7.26,3.22%,1.73,6.73%,2.29%,1
AROW,Arrow Financial Corp,15.18,15.22,2.81%,37.01,1.9,4.82,13.51,32.07%,0.07,13.10%,1.20%,1
ARTNA,Artesian Resources Corp,22.49,23.18,2.74%,36.43,2.16,4.13,13.61,18.16%,0.73,9.83%,2.82%,1
ARWR,Arrowhead Pharmaceuticals Inc,83.44,84.15,--,-181.28,22.65,34.4,80.19,40.27%,0,39.94%,29.46%,1
ASB,Associated Banc-Corp,10.98,11.59,3.44%,10.87,0.91,2.71,9.27,25.79%,0.2,8.66%,0.99%,1
ASFI,Asta Funding Inc,9.5,9.5,--,10.25,0.75,3.19,9.26,33.98%,0,8.36%,8.18%,1
ASGN,ASGN Inc,21.07,24.13,--,15.17,2.79,0.97,14.89,4.56%,0.74,14.50%,6.49%,1
ASH,Ashland Global Holdings Inc,88.81,88.41,1.48%,24.14,1.25,1.8,13.1,2.13%,0.42,1.52%,0.68%,1
ASIX,AdvanSix Inc,7.33,7.61,--,10.5,1.04,0.33,3.76,4.26%,0.64,15.53%,5.85%,1
ASML,ASML Holding NV,50.1,43.82,0.79%,44.96,9.29,10.45,38.47,23.62%,0.26,19.34%,10.93%,1
ASR,Grupo Aeroportuario del Sureste SAB de CV,19.65,22.33,2.64%,19.99,0.28,6.89,16.23,33.22%,0.45,19.68%,10.58%,1
ASRV,Ameriserv Financial Inc,10.15,9.75,2.38%,4.2,0.7,1.44,7.74,15.62%,0.23,7.30%,0.62%,1
ASX,ASE Technology Holding Co Ltd,21.2,13.34,3.02%,22.04,1.67,0.84,4.98,7.13%,0.72,7.98%,3.12%,1
ASYS,Amtech Systems Inc,33.31,33.25,--,90.37,1.19,1.23,21.65,3.69%,0.06,3.47%,2.27%,1
ATAX,America First Multifamily Investors LP,15.91,12.76,6.58%,7.6,1.36,5.55,11.76,46.58%,1.3,9.16%,3.34%,1
ATGE,Adtalem Global Education Inc,12.82,15.12,--,14.29,1.46,1.58,10.01,11.26%,0.25,11.67%,6.73%,1
ATGN,Altigen Communications Inc,23.09,23.29,--,1.74,3.03,3.75,19.06,18.03%,0,15.73%,13.00%,1
ATHM,Autohome Inc,23.17,25.08,--,22.38,5.28,8.63,24.11,39.59%,0,26.40%,19.81%,1
ATI,Allegheny Technologies Inc,10.24,11,--,14.9,1.06,0.55,5.74,6.00%,0.71,11.96%,4.74%,1
ATKR,Atkore International Group Inc,14.44,14.07,--,10.6,8.26,1,9.1,7.26%,3.63,76.24%,10.07%,1
ATLO,Ames National Corp,14.71,14.86,3.53%,27.16,1.35,4.81,13.48,34.01%,0,9.64%,1.16%,1
ATO,Atmos Energy Corp,25.71,25.61,2.06%,24.01,2.31,4.69,15.08,17.62%,0.61,9.71%,4.05%,1
ATR,Aptargroup Inc,32.59,39.72,1.24%,29.43,4.76,2.58,20.5,6.85%,0.69,15.91%,6.82%,1
ATRI,Atrion Corp,36.69,38.94,0.86%,718,5.73,8.56,30.7,22.47%,0,16.66%,15.04%,1
ATRO,Astronics Corp,9.43,19.7,--,31.54,2.04,1.12,10.54,5.88%,0.42,24.89%,12.74%,1
ATSG,Air Transport Services Group Inc,16.85,23.13,--,16.96,2.84,1.03,5.01,7.61%,2.93,20.15%,4.46%,1
ATUS,Altice USA Inc,54.84,"1,087.21",--,69.26,7.77,1.83,7.43,0.22%,10.4,11.45%,1.04%,1
ATV,Acorn International Inc,2.23,1.52,5.34%,18.72,0.67,1.31,1.44,114.90%,0,14.93%,12.93%,1
ATVI,Activision Blizzard Inc,33.77,29.75,0.63%,26.6,3.7,6.58,17.84,20.37%,0.22,11.75%,7.79%,1
ATYM,Asia Time Corp,0,0,--,0,0,0,0,5.74%,0.14,43.48%,21.09%,1
AU,AngloGold Ashanti Ltd,42.71,68.63,0.31%,20.21,3.3,2.4,11.58,3.80%,0.53,8.00%,3.30%,1
AUB,Atlantic Union Bankshares Corp,15.2,15.98,2.76%,13.18,1.16,4.57,16.6,28.14%,0.12,8.27%,1.18%,1
AUBN,Auburn National Bancorporation Inc,20.22,21.9,1.88%,53.1,1.96,6.27,19.38,30.57%,0,10.38%,1.16%,1
AVA,Avista Corp,16.19,22.82,3.28%,24.89,1.66,2.33,9.72,9.78%,1.05,10.54%,3.33%,1
AVAV,AeroVironment Inc,42.73,39.31,--,42.41,3.41,5.01,31.22,14.59%,0,8.38%,8.52%,1
AVB,AvalonBay Communities Inc,28.99,29.67,2.92%,38.66,2.69,12.61,18.13,42.64%,0.68,9.44%,5.32%,1
AVD,American Vanguard Corp,30.84,21.72,0.44%,37.54,1.63,1.18,12.42,5.62%,0.49,5.28%,2.68%,1
AVGO,Broadcom Inc,46.27,46.31,4.34%,12.91,4.77,5.27,13.98,12.11%,1.2,10.49%,4.65%,1
AVIFY,Advanced Info Service PCL,22.91,22.36,3.07%,22.38,10.3,3.65,10,17.49%,1.33,48.22%,10.16%,1
AVNW,Aviat Networks Inc,7.37,8.03,--,10.79,1.08,0.31,5.31,3.99%,0,15.94%,6.28%,1
AVT,Avnet Inc,29.45,24.65,1.98%,20.26,1.09,0.22,11.52,0.98%,0.3,3.67%,1.72%,1
AVX,AVX Corp,14.96,12.76,2.25%,22.51,1.43,2.09,9.57,15.17%,0,9.82%,8.30%,1
AVY,Avery Dennison Corp,46.35,24.17,1.81%,19.59,10.16,1.52,16.41,6.61%,1.4,22.72%,4.59%,1
AWI,Armstrong World Industries Inc,21.59,27.19,0.81%,21.55,13.01,4.64,17.78,19.44%,1.77,65.00%,12.95%,1
AWK,American Water Works Company Inc,34.14,38.1,1.63%,33.99,3.58,6.23,19.75,16.77%,1.4,10.77%,3.00%,1
AWR,American States Water Co,38.33,48.86,1.45%,39.82,5.19,6.56,29.38,14.62%,0.8,14.09%,5.31%,1
AX,Axos Financial Inc,11.51,11.91,--,9.83,1.63,3.53,10.58,31.57%,0.12,15.08%,1.48%,1
AXAHY,AXA SA,40.82,26.2,5.36%,9.54,0.9,0.49,67.64,0.05%,0.26,2.23%,-0.09%,1
AXAS,Abraxas Petroleum Corp,0.93,0.94,--,4.22,0.32,0.4,0.54,38.76%,1.17,41.93%,14.37%,1
AXE,Anixter International Inc,16.71,21.95,--,14.34,1.93,0.38,15.02,1.83%,0.62,12.20%,4.26%,1
AXP,American Express Co,16.56,17.38,1.35%,15.59,4.54,2.35,13.27,15.44%,2.54,28.99%,3.43%,1
AXRX,Amexdrug Corp,34.52,120.83,--,0.06,12.09,1.06,96.74,0.90%,0.34,42.42%,12.67%,1
